Entity,Label,Count,Average_Score
discorda,ESTRUTURA_FISICA,4,"0,8679"
falha,ESTRUTURA_FISICA,4,"0,9995"
Laminitos,ROCHA,4,"0,9994"
floatstones.,ROCHA,3,"0,5820"
"siliciclastics,",ROCHA,3,"0,9086"
8-BUZ-26-RJS,POÇO,3,"0,9718"
Albian.,UNIDADE_CRONO,3,"0,9978"
Albiano,UNIDADE_CRONO,3,"0,9999"
breccia,MINERAIS,3,"0,7458"
dolomites.,ROCHA,3,"0,9920"
"wackestones,",ROCHA,3,"0,9832"
"Grainstones,",ROCHA,3,"0,9784"
coquinas.,ROCHA,3,"0,9711"
gastropod,FOSSEIS,3,"0,7841"
Conglomerate,ROCHA,3,"0,8870"
Sandstone,ROCHA,3,"0,8525"
siltstone,ROCHA,3,"0,6825"
Travertines,ROCHA,3,"0,9315"
aragonite,MINERAIS,3,"0,5799"
Berriasian.,UNIDADE_CRONO,3,"0,8512"
wedges,ESTRUTURA_FISICA,3,"0,6872"
ritoSanto,BACIA,3,"0,8443"
scars,ESTRUTURA_FISICA,3,"0,7556"
Eoaptian,UNIDADE_CRONO,3,"0,9826"
3-BRSA-1023-SPS,POÇO,3,"0,9910"
baciadeSantos,BACIA,3,"0,9824"
gastropods,FOSSEIS,3,"0,7802"
Arenites.,ROCHA,3,"0,9644"
rudstone.,ROCHA,3,"0,9901"
Claystones,ROCHA,3,"0,8265"
ooid,NAO_CONSOLID,3,"0,9079"
"smectite,",ROCHA,3,"0,6542"
Arenites,ROCHA,3,"0,9248"
clay,NAO_CONSOLID,3,"0,6378"
calcretes,ROCHA,3,"0,8028"
lacustres,PALEOAMBIENTE,3,"0,9715"
Calcarenite,ROCHA,3,"0,9472"
"floatstone,",ROCHA,3,"0,6333"
"wackestone,",ROCHA,3,"0,8272"
"dolostone,",MINERAIS,3,"0,7806"
magma,ROCHA,3,"0,9017"
volcanic,ROCHA,3,"0,6689"
"shrubstones,",ROCHA,3,"0,7805"
BarraVelha.,UNIDADE_LITO,3,"0,8367"
Phanerozoic.,UNIDADE_CRONO,3,"0,9994"
Santo,BACIA,3,"0,7777"
"Pleistocene,",UNIDADE_CRONO,3,"0,9839"
calcites,MINERAIS,3,"0,3931"
cherts.,ROCHA,3,"0,8397"
"galena,",MINERAIS,3,"0,7491"
"stones,",ROCHA,3,"0,9274"
Ooids,NAO_CONSOLID,3,"0,6352"
mound-like,ESTRUTURA_FISICA,3,"0,6564"
claystone,ROCHA,3,"0,8542"
1-BRSA-618-RJS,POÇO,3,"0,9956"
3-BRSA-1243-RJS,POÇO,3,"0,9768"
Neobarremian,UNIDADE_CRONO,3,"0,9313"
