Readable_Term,Label,Frequency
"1-brsa-618-rjs,",POÇO,1
"3-brsa-1032-rjs,",POÇO,1
"3-brsa-1172-rjs,",POÇO,1
3-brsa-1132-rjs,POÇO,1
9-brsa-1284-rjs,POÇO,1
gases,FLUIDODATERRA,1
ilyocypris,FOSSEIS,1
"alagoas,",UNIDADE_CRONO,1
alagoas.,UNIDADE_CRONO,1
rocks,ROCHA,1
strontium,MINERAIS,1
paleocene-eocene,UNIDADE_CRONO,1
gravel,NAO_CONSOLID,1
eolian,PALEOAMBIENTE,1
rochascarbonaticas,ROCHA,1
3-eqnr-1-sps,POÇO,1
mounds.,ESTRUTURA_FISICA,1
3-brsa-1343-rjs,POÇO,1
2-anp-2a-rjs.,POÇO,1
3-brsa-1345-rjs.,POÇO,1
3-brsa-1183-rjs,POÇO,1
2seq5,POÇO,1
formac,UNIDADE_LITO,1
"aptiano,",UNIDADE_CRONO,1
"anidrita,",ROCHA,1
leques,PALEOAMBIENTE,1
falhas.,ESTRUTURA_FISICA,1
siltites.,ROCHA,1
calcarenite.,ROCHA,1
"pampo,",CAMPO,1
charophyte,FOSSEIS,1
algae,FOSSEIS,1
gyrogonite,FOSSEIS,1
oogonia,FOSSEIS,1
grainstones-rudstones,ROCHA,1
neo-cretaceous,UNIDADE_CRONO,1
of,BACIA,1
neocominian.,UNIDADE_CRONO,1
3-brsa-1053rjs,POÇO,1
eodanian,UNIDADE_CRONO,1
8-buz-28da-rjs.,POÇO,1
8buz-28da-rjs,POÇO,1
eo-aptian.,UNIDADE_CRONO,1
8-buz-21d-rjs,POÇO,1
8buz-26-rjs,POÇO,1
neo-aptian,UNIDADE_CRONO,1
sylvite,MINERAIS,1
neogene.,UNIDADE_CRONO,1
diamictites,ROCHA,1
mound-shaped,ESTRUTURA_FISICA,1
miocene.,UNIDADE_CRONO,1
serravallian,UNIDADE_CRONO,1
diamictites.,ROCHA,1
dinoflagellate,FOSSEIS,1
baciadetaranaki.,BACIA,1
"espiritosantobasins,",BACIA,1
camposdelapa,CAMPO,1
"campodebonito,",CAMPO,1
baciadecampos-,BACIA,1
neogene,UNIDADE_CRONO,1
paleogene,UNIDADE_CRONO,1
cyanobacteriacoccoid,FOSSEIS,1
cyanobacteriamats.,FOSSEIS,1
botryoids,FOSSEIS,1
quartzite,MINERAIS,1
schist,NAO_CONSOLID,1
fluvial-to-alluvial,PALEOAMBIENTE,1
molluskshell,FOSSEIS,1
"chert,",MINERAIS,1
structures,ESTRUTURA_FISICA,1
"anhydrites,",ROCHA,1
"material,",NAO_CONSOLID,1
cameia,CAMPO,1
benguela,BACIA,1
"cambrian,",UNIDADE_CRONO,1
berriasian,UNIDADE_CRONO,1
"sergipe-alagoas,",BACIA,1
"scarps,",ESTRUTURA_FISICA,1
fracture,ESTRUTURA_FISICA,1
borborema,FOSSEIS,1
aptianalbian,UNIDADE_CRONO,1
baciadoespi,BACIA,1
baciadoespiritosanto.,BACIA,1
santo.,BACIA,1
continental-,PALEOAMBIENTE,1
planktonic,FOSSEIS,1
collapse,ESTRUTURA_FISICA,1
"scars,",ESTRUTURA_FISICA,1
mato,CAMPO,1
cenozoic.,UNIDADE_CRONO,1
"buracica,",UNIDADE_CRONO,1
7-lpa-1d-sps,POÇO,1
ridge,PALEOAMBIENTE,1
discordance,ESTRUTURA_FISICA,1
oil,FLUIDODATERRA,1
1brsa-491-sps,POÇO,1
1-brsa491-sps,POÇO,1
superior.,UNIDADE_CRONO,1
"ostracodes,",FOSSEIS,1
eoproterozoic,UNIDADE_CRONO,1
"espritosanto,",BACIA,1
mollusks.,FOSSEIS,1
"charophytes,",FOSSEIS,1
bivalves.,FOSSEIS,1
molds,FOSSEIS,1
peloid.,NAO_CONSOLID,1
cracks.,ESTRUTURA_FISICA,1
"muscovite,",MINERAIS,1
celestine,MINERAIS,1
"sparites,",ROCHA,1
cataclastic,TEXTURA,1
dolostones.,ROCHA,1
"grupolagoafeia,",UNIDADE_LITO,1
oceanic,PALEOAMBIENTE,1
pliopleistocene,UNIDADE_CRONO,1
mesoproterozoic,UNIDADE_CRONO,1
nangnuan,CAMPO,1
silcrete,MINERAIS,1
mesozo,UNIDADE_CRONO,1
kerolite,ROCHA,1
carbonate.,ROCHA,1
quinas,FOSSEIS,1
mero,CAMPO,1
santosbasin.,BACIA,1
aptian-aged,UNIDADE_CRONO,1
cenomanian,UNIDADE_CRONO,1
frade,UNIDADE_CRONO,1
maastrichtian,UNIDADE_CRONO,1
pre-cambrian,UNIDADE_CRONO,1
miliolid,MINERAIS,1
"gypsum,",MINERAIS,1
barremianos,UNIDADE_CRONO,1
grupolagoafeia,UNIDADE_LITO,1
baciadesalta,BACIA,1
"feldspars,",MINERAIS,1
"framestone,",ROCHA,1
bindstone,ROCHA,1
"sparstone,",ROCHA,1
"tufa,",ROCHA,1
"crustone,",ROCHA,1
lutites,ROCHA,1
ticas,ROCHA,1
calcarias,NAO_CONSOLID,1
"namibe,",BACIA,1
"kwanza,",BACIA,1
congo,BACIA,1
gabon,BACIA,1
"sb-a1,",POÇO,1
wackestonespackstones,ROCHA,1
mudlimestones,ROCHA,1
"framestones,",ROCHA,1
"shells,",FOSSEIS,1
pre-aptian,UNIDADE_CRONO,1
barremian-aged,UNIDADE_CRONO,1
brsa-944-rjs,POÇO,1
2anp1,POÇO,1
fluvial-deltaic,PALEOAMBIENTE,1
barremianupperaratu,UNIDADE_CRONO,1
"9-brsa-1159-rjs,",POÇO,1
"marls,",ROCHA,1
"3-brsa1053-rjs,",POÇO,1
3-brsa-1195,POÇO,1
candonacentroimpressa,FOSSEIS,1
cyprideisfrugosa,FOSSEIS,1
"gastropods,",FOSSEIS,1
coquinacarbonates.,ROCHA,1
3-brsa944-rjs.,POÇO,1
"3-brsa-944a-rjs,",POÇO,1
9-brsa1159-rjs,POÇO,1
3-brsa-944arjs,POÇO,1
3-brsa-944-rjs,POÇO,1
barremian-,UNIDADE_CRONO,1
karst,ROCHA,1
"clay,",NAO_CONSOLID,1
toarcian,UNIDADE_CRONO,1
camposbasins.,BACIA,1
formationsantos,UNIDADE_LITO,1
formationcampos,UNIDADE_LITO,1
"palaeoproterozoic,",UNIDADE_CRONO,1
namibebasin,BACIA,1
sergipealagoasbasin,BACIA,1
cementstones.,ROCHA,1
flint,ROCHA,1
chalks,NAO_CONSOLID,1
bms-22,POÇO,1
3-esso-004-sps,POÇO,1
"cracks,",ESTRUTURA_FISICA,1
boundstone.,ROCHA,1
sb-2,POÇO,1
bonneville,BACIA,1
co2.,FLUIDODATERRA,1
magnesiumsmectite,MINERAIS,1
ellimmalongipectoralis,FOSSEIS,1
"water,",FLUIDODATERRA,1
anp-1,POÇO,1
wedging,ESTRUTURA_FISICA,1
"ostracod,",FOSSEIS,1
playa-lake,PALEOAMBIENTE,1
retiro,UNIDADE_LITO,1
"mudrocks,",ROCHA,1
bivalve-gastropod,FOSSEIS,1
sphalerite,ROCHA,1
svanbergite,ROCHA,1
zeolite,ROCHA,1
"dolostones,",ROCHA,1
"microcrystalline,",TEXTURA,1
silurian,UNIDADE_CRONO,1
magnesite.,MINERAIS,1
"magnesite,",MINERAIS,1
radiolaria,FOSSEIS,1
spiculessubae,FOSSEIS,1
"zeolite,",MINERAIS,1
bitumen,MINERAIS,1
permian.,UNIDADE_CRONO,1
santoniancampanian.,UNIDADE_CRONO,1
continental-oceanic,PALEOAMBIENTE,1
oolites,FOSSEIS,1
paleocontinent,PALEOAMBIENTE,1
mesozoic.,UNIDADE_CRONO,1
"sb-e1,",POÇO,1
"sbe1,",POÇO,1
shrubstone.,ROCHA,1
aragonite.,MINERAIS,1
cobbles.,ROCHA,1
pebbles,ROCHA,1
cobbles,ROCHA,1
bve-200,POÇO,1
furongian,UNIDADE_CRONO,1
wavy,ESTRUTURA_FISICA,1
coastal,PALEOAMBIENTE,1
palaeozoic,UNIDADE_CRONO,1
macabu,UNIDADE_LITO,1
baryte,ROCHA,1
mgclaystones,ROCHA,1
"dolomites,",ROCHA,1
mg-claystones,ROCHA,1
"kwanzabasin,",BACIA,1
palaeocene,UNIDADE_CRONO,1
sandstone.,ROCHA,1
baciade,BACIA,1
"eoaptian,",UNIDADE_CRONO,1
santonian-campanian,UNIDADE_CRONO,1
"3-brsa-891a-rjs,",POÇO,1
4-brsa-1226rjs,POÇO,1
4-brsa1226-rjs,POÇO,1
"9-brsa-1212-rjs,",POÇO,1
"4-brsa-1284-rjs,",POÇO,1
"3-brsa-1132-rjs,",POÇO,1
"3-brsa-1171d-rjs,",POÇO,1
"8-atp-4d-rjs,",POÇO,1
barravelhaformations,UNIDADE_LITO,1
"3-brsa-1243-rjs,",POÇO,1
"1-brsa-1146-rjs,",POÇO,1
9-atp-3-rjs,POÇO,1
8-atp-4d-rjs,POÇO,1
8-atp-5-rjs,POÇO,1
9-brsa-1212-rjs,POÇO,1
9-bbg-1d-rjs,POÇO,1
8-sbbg-1-rjs,POÇO,1
sf-2,POÇO,1
3-brsa-1284-rjs,POÇO,1
"3-brsa-1212-rjs,",POÇO,1
3-brsa-1284rjs,POÇO,1
"3brsa-1181d-rjs,",POÇO,1
profundal,PALEOAMBIENTE,1
marls,PALEOAMBIENTE,1
ridge-type,ESTRUTURA_FISICA,1
3brsa-1172-rjs,POÇO,1
fissure-ridge,ESTRUTURA_FISICA,1
gases.,FLUIDODATERRA,1
campodesururu.bachelor,CAMPO,1
pampo,CAMPO,1
paleocene,UNIDADE_CRONO,1
cretaceosuperior.,UNIDADE_CRONO,1
"baciadoespiritosanto,",BACIA,1
aptianalagoas,UNIDADE_CRONO,1
gneisses.,ROCHA,1
"santo,",BACIA,1
holocene.,UNIDADE_CRONO,1
tithonian,UNIDADE_CRONO,1
petrobrasia,FOSSEIS,1
mudrocks,ROCHA,1
santos.,BACIA,1
quaternary.,UNIDADE_CRONO,1
igneous,PALEOAMBIENTE,1
zircon,MINERAIS,1
baciadoreco,BACIA,1
